[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:07] [NodeA] [main] [INFO] Node NodeA is RUNNING.
[2026-07-03 10:31:07] [NodeA] [tcp-server] [INFO] TCP server listening on port 7001
[2026-07-03 10:31:09] [NodeA] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:60224
[2026-07-03 10:31:09] [NodeA] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:60234
[2026-07-03 10:31:09] [NodeA] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:60250
[2026-07-03 10:31:10] [NodeA] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:60258
[2026-07-03 10:31:10] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:60268
[2026-07-03 10:31:11] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:60270
[2026-07-03 10:31:11] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:60282
[2026-07-03 10:31:11] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:60284
[2026-07-03 10:31:12] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:60290
[2026-07-03 10:31:12] [NodeA] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:60298
[2026-07-03 10:31:13] [NodeA] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:60306
[2026-07-03 10:31:13] [NodeA] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:60322
[2026-07-03 10:31:13] [NodeA] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:60326
[2026-07-03 10:31:14] [NodeA] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:57314
[2026-07-03 10:31:14] [NodeA] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:57320
[2026-07-03 10:31:15] [NodeA] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:57330
[2026-07-03 10:31:15] [NodeA] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:57346
[2026-07-03 10:31:15] [NodeA] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:57360
[2026-07-03 10:31:16] [NodeA] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:57374
[2026-07-03 10:31:16] [NodeA] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:57390
[2026-07-03 10:31:17] [NodeA] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:57392
[2026-07-03 10:31:17] [NodeA] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:57396
[2026-07-03 10:31:17] [NodeA] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:57408
[2026-07-03 10:31:18] [NodeA] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:57410
[2026-07-03 10:31:18] [NodeA] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:57416
[2026-07-03 10:31:19] [NodeA] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:57428
[2026-07-03 10:31:19] [NodeA] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:57432
[2026-07-03 10:31:19] [NodeA] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:57434
[2026-07-03 10:31:20] [NodeA] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:57442
[2026-07-03 10:31:20] [NodeA] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:57454
[2026-07-03 10:31:21] [NodeA] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:57458
[2026-07-03 10:31:21] [NodeA] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:57464
[2026-07-03 10:31:21] [NodeA] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:57472
[2026-07-03 10:31:22] [NodeA] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:57478
[2026-07-03 10:31:22] [NodeA] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:57480
[2026-07-03 10:31:23] [NodeA] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:57494
[2026-07-03 10:31:23] [NodeA] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:57506
[2026-07-03 10:31:23] [NodeA] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:57512
[2026-07-03 10:31:24] [NodeA] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:50230
[2026-07-03 10:31:24] [NodeA] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:50232
[2026-07-03 10:31:25] [NodeA] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:50234
[2026-07-03 10:31:25] [NodeA] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:50250
[2026-07-03 10:31:25] [NodeA] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:50260
[2026-07-03 10:31:26] [NodeA] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:50276
[2026-07-03 10:31:26] [NodeA] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:50286
[2026-07-03 10:31:27] [NodeA] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:50302
[2026-07-03 10:31:27] [NodeA] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:50306
[2026-07-03 10:31:27] [NodeA] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:50322
[2026-07-03 10:31:28] [NodeA] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:50332
[2026-07-03 10:31:28] [NodeA] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:50336
[2026-07-03 10:31:29] [NodeA] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:50352
[2026-07-03 10:31:29] [NodeA] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:50362
[2026-07-03 10:31:29] [NodeA] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:50374
[2026-07-03 10:31:30] [NodeA] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:50382
[2026-07-03 10:31:30] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:50396
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:50410
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:50412
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:50428
[2026-07-03 10:31:32] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:50432
