[2026-07-03 10:31:08] [NodeC] [main] [INFO] Starting NodeC on port 7003
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
[2026-07-03 10:31:08] [NodeC] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:08] [NodeC] [main] [INFO] Node NodeC is RUNNING.
[2026-07-03 10:31:08] [NodeC] [tcp-server] [INFO] TCP server listening on port 7003
[2026-07-03 10:31:08] [NodeC] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:46310
[2026-07-03 10:31:09] [NodeC] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:46326
[2026-07-03 10:31:09] [NodeC] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:46342
[2026-07-03 10:31:09] [NodeC] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:46350
[2026-07-03 10:31:10] [NodeC] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:46362
[2026-07-03 10:31:10] [NodeC] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:46376
[2026-07-03 10:31:11] [NodeC] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:46386
[2026-07-03 10:31:11] [NodeC] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:46390
[2026-07-03 10:31:11] [NodeC] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:46396
[2026-07-03 10:31:12] [NodeC] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:46406
[2026-07-03 10:31:12] [NodeC] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:46410
[2026-07-03 10:31:13] [NodeC] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:46424
[2026-07-03 10:31:13] [NodeC] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:46428
[2026-07-03 10:31:13] [NodeC] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:46430
[2026-07-03 10:31:14] [NodeC] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:53458
[2026-07-03 10:31:14] [NodeC] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:53474
[2026-07-03 10:31:15] [NodeC] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:53486
[2026-07-03 10:31:15] [NodeC] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:53492
[2026-07-03 10:31:15] [NodeC] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:53502
[2026-07-03 10:31:16] [NodeC] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:53504
[2026-07-03 10:31:16] [NodeC] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:53508
[2026-07-03 10:31:17] [NodeC] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:53524
[2026-07-03 10:31:17] [NodeC] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:53526
[2026-07-03 10:31:17] [NodeC] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:53534
[2026-07-03 10:31:18] [NodeC] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:53542
[2026-07-03 10:31:18] [NodeC] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:53544
[2026-07-03 10:31:19] [NodeC] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:53552
[2026-07-03 10:31:19] [NodeC] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:53564
[2026-07-03 10:31:19] [NodeC] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:53574
[2026-07-03 10:31:20] [NodeC] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:53582
[2026-07-03 10:31:20] [NodeC] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:53584
[2026-07-03 10:31:21] [NodeC] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:53598
[2026-07-03 10:31:21] [NodeC] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:53614
[2026-07-03 10:31:21] [NodeC] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:53616
[2026-07-03 10:31:22] [NodeC] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:53632
[2026-07-03 10:31:22] [NodeC] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:53634
[2026-07-03 10:31:23] [NodeC] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:53646
[2026-07-03 10:31:23] [NodeC] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:53656
[2026-07-03 10:31:23] [NodeC] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:53670
[2026-07-03 10:31:24] [NodeC] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:52692
[2026-07-03 10:31:24] [NodeC] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:52708
[2026-07-03 10:31:25] [NodeC] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:52714
[2026-07-03 10:31:25] [NodeC] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:52726
[2026-07-03 10:31:25] [NodeC] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:52736
[2026-07-03 10:31:26] [NodeC] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:52746
[2026-07-03 10:31:26] [NodeC] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:52760
[2026-07-03 10:31:27] [NodeC] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:52772
[2026-07-03 10:31:27] [NodeC] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:52782
[2026-07-03 10:31:27] [NodeC] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:52790
